Time,Methane Level,Soil Moisture Level
59:23.1,Not Detected,217
59:24.9,Not Detected,217
59:25.2,Not Detected,217
59:26.1,Not Detected,217
59:27.9,Not Detected,217
59:28.2,Not Detected,217
59:29.1,Not Detected,217
59:30.9,Not Detected,217
59:31.2,Not Detected,217
59:32.2,Detected,723
59:33.2,Detected,724
59:34.2,Detected,724
59:35.2,Detected,726
59:36.2,Detected,726
59:37.2,Detected,726
59:38.2,Detected,727
59:39.2,Detected,727
59:40.2,Not Detected,728
59:41.2,Not Detected,730
59:42.2,Not Detected,730
59:43.2,Not Detected,730
59:44.2,Detected,731
59:45.2,Not Detected,731
59:46.2,Not Detected,732
59:47.2,Not Detected,732
59:48.2,Not Detected,734
59:49.2,Detected,734
59:50.2,Not Detected,734
59:51.2,Not Detected,735
00:00.2,Not Detected,735
00:01.2,Not Detected,737
00:02.2,Not Detected,737
00:03.2,Not Detected,737
00:04.2,Detected,738
00:05.2,Detected,738
00:06.2,Detected,738
00:07.2,Detected,738
00:08.2,Detected,738
00:09.2,Detected,739
00:10.2,Not Detected,739
00:11.2,Not Detected,741
00:12.2,Not Detected,741
00:13.2,Not Detected,741
00:14.2,Detected,741
00:15.2,Detected,741
00:16.2,Detected,741
00:17.2,Not Detected,743
00:18.2,Not Detected,745
00:19.2,Not Detected,745
00:20.2,Not Detected,745
00:21.2,Not Detected,746
00:22.2,Not Detected,746
00:23.2,Not Detected,746
00:24.2,Not Detected,746
00:25.2,Not Detected,747
00:26.2,Not Detected,747
00:27.2,Not Detected,747
00:28.2,Not Detected,748
00:29.2,Not Detected,748
00:30.2,Not Detected,748
00:31.2,Not Detected,748
00:32.2,Detected,748
00:33.2,Detected,748
00:34.2,Detected,750
00:35.2,Detected,750
00:36.2,Detected,750
00:37.2,Detected,750
00:38.2,Detected,750
00:39.2,Detected,750
00:40.2,Not Detected,752
00:41.2,Not Detected,752
00:42.2,Not Detected,752
00:43.2,Not Detected,752
00:44.2,Not Detected,752
00:45.2,Not Detected,752
00:46.2,Not Detected,753
00:47.2,Not Detected,753
00:48.2,Not Detected,753
00:49.2,Not Detected,753
00:50.2,Not Detected,753
00:51.2,Not Detected,753
00:52.2,Not Detected,753
00:53.2,Not Detected,753
00:54.2,Not Detected,754
00:55.2,Not Detected,754
00:56.2,Not Detected,754
00:57.2,Not Detected,754
00:58.2,Not Detected,754
00:59.2,Not Detected,754
01:00.2,Not Detected,756
01:01.2,Not Detected,756
